PostContent,Date,NumberOfComment,Like,Heart,Care,Haha,Wow,Sad,Angry,ContentofComment
" CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN DUET - NHÓM TUYỂN SINH, TRUYỀN THÔNG VÀ TỔ CHỨC SỰ KIỆN DUE ",32 phút,2,0,0,0,0,0,0,0,"[' CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN DUET - NHÓM TUYỂN SINH, TRUYỀN THÔNG VÀ TỔ CHỨC SỰ KIỆN DUE ', ' CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN DUET - NHÓM TUYỂN SINH, TRUYỀN THÔNG VÀ TỔ CHỨC SỰ KIỆN DUE \n---------------------\nLink đơn ứng tuyển: https://s.net.vn/DUE… Xem thêm', 'Hóng mãi thôi', 'Apply lẹ để còn gặp tui']"
Cho e hỏi trường mình có trao đổi sv với các trường khác trong nước đúng ko ạ. Thế điều kiện gì để mình được tham gia trao đổi vậy ạ. Và có được chọn trường mình muốn trao đổi ko ạ và có mất thêm chi phí học koo ạ. Em cảm ơn,4 ngày,1,0,0,0,0,0,0,0,"['Cho e hỏi trường mình có trao đổi sv với các trường khác trong nước đúng ko ạ. Thế điều kiện gì để mình được tham gia trao đổi vậy ạ. Và có được chọn trường mình muốn trao đổi ko ạ và có mất thêm chi phí học koo ạ. Em cảm ơn', 'e có thể inb hỏi Phòng Đào tạo nha: https://www.facebook.com/PhongDaoTaoDUE']"
"Nhanh tay apply để tham gia vào hành trình săn lùng những ""chiến mã"" đầy tài năng của Nhà Key nhaa",5 Tháng 10 lúc 20:19,20,0,0,0,0,0,0,0,"['Nhanh tay apply để tham gia vào hành trình săn lùng những ""chiến mã"" đầy tài năng của Nhà Key nhaa', 'CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN CÂU LẠC BỘ K2S\n“DASH TO THE FINISH”\nHãy lướt xuống phần bình luận để biết nhanh tay nhận ""đơn ứng tuyển” và “link frame” nhậ… Xem thêm', 'queo khom queo khommmmmmm', 'Vào\nKết Nối đi nào\nVui lắm á']"
"[TUYỂN THÀNH VIÊN DỰ ÁN GREEN UNIVERSITY DUE - GR:ECO]
PHÁT TÁN TÍN HIỆU - TÌM THẤY “ĐỒNG XANH”
Gieo hạt, bón phân, tưới nước
Nảy mầm, ra rễ, đâm chồi
Tư duy khác đi, tái tạo và phục hồi… Xem thêm",5 Tháng 10 lúc 20:19,3,0,0,0,0,0,0,0,"['[TUYỂN THÀNH VIÊN DỰ ÁN GREEN UNIVERSITY DUE - GR:ECO]\nPHÁT TÁN TÍN HIỆU - TÌM THẤY “ĐỒNG XANH”\nGieo hạt, bón phân, tưới nước\nNảy mầm, ra rễ, đâm chồi\nTư duy khác đi, tái tạo và phục hồi… Xem thêm', 'Các Greeners tương lai của GUD đou gòi ạ']"
"Cho em hỏi đăng kí thi bằng lái xe ở trường thì tổng tất cả chi phí khoảng bao nhiêu ạ. Và em muốn đăng kí thì đến đâu để đăng kí ạ
 em cảm ơnn",5 Tháng 10 lúc 07:07,5,0,0,0,0,0,0,0,"['Cho em hỏi đăng kí thi bằng lái xe ở trường thì tổng tất cả chi phí khoảng bao nhiêu ạ. Và em muốn đăng kí thì đến đâu để đăng kí ạ\n em cảm ơnn', 'Em lên tầng 2 phòng ctsv khu H']"
[Đã có bạn nhận xuất],29 Tháng 9 lúc 15:08,1,0,0,0,0,0,0,0,"['[Đã có bạn nhận xuất]', 'Ib e vs c']"
[SEE CLUB CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN NHIỆM KỲ 2024 - 2025],24 Tháng 9 lúc 17:25,5,0,0,0,0,0,0,0,"['[SEE CLUB CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN NHIỆM KỲ 2024 - 2025]', '[SEE CLUB CHÍNH THỨC MỞ ĐƠN TUYỂN THÀNH VIÊN NHIỆM KỲ 2024 - 2025]', 'Ai mún đăng ký liên hệ mình nha, lấy phí 100k thuiiii', 'Bao lâu mik nhận đc mail ạ?']"
Chỉ còn một ít SLOT cuối cùng nhé các bạn DUERs ơi!!!,27 Tháng 9 lúc 20:19,1,0,0,0,0,0,0,0,"['Chỉ còn một ít SLOT cuối cùng nhé các bạn DUERs ơi!!!', ' [KHAI GIẢNG KHÓA HỌC TIẾNG ANH MẤT GỐC 30/09/2024] ']"
e cần giáo trình các môn này ạ,17 Tháng 9,10,0,0,0,0,0,0,0,"['e cần giáo trình các môn này ạ', 'Mình còn qth và vi mô tiếng anh']"
Mình pass máy casio 580 ah,24 Tháng 9 lúc 18:24,10,0,0,0,0,0,0,0,"['Mình pass máy casio 580 ah', 'Còn k ạ', 'Bn ạ']"
E cần mua giáo trình của các môn này ạ,12 Tháng 9,98,0,0,0,0,0,0,0,"['E cần mua giáo trình của các môn này ạ', 'c có giáo trình marketing tiếng anh em nhé', 'Có 2-3-5-6 ạ']"
E cần mua những sách này ạ,16 Tháng 9,14,0,0,0,0,0,0,0,"['E cần mua những sách này ạ', 'C còn triết nì', 'chị có triết nha, giáo trình+ tlieu ôn tập']"
Tìm người pass ạ,16 Tháng 9,43,0,0,0,0,0,0,0,"['Tìm người pass ạ', 'Bạn này nhanh ác', 'Mình còn triết và E1 (chưa dùng mã)']"
"[ ECO-FUN CLUB | MỞ ĐƠN TUYỂN TÂN THÀNH VIÊN ]
-----------------------------------
 Thời gian mở đơn: 19/09/2024 - 27/09/2024
-----------------------------------
 Link đăng ký:",22 Tháng 9,1,0,0,0,0,0,0,0,"['[ ECO-FUN CLUB | MỞ ĐƠN TUYỂN TÂN THÀNH VIÊN ]\n-----------------------------------\n Thời gian mở đơn: 19/09/2024 - 27/09/2024\n-----------------------------------\n Link đăng ký:', '[ ECO-FUN CLUB | MỞ ĐƠN TUYỂN TÂN THÀNH VIÊN ]\n-----------------------------------\n Thời gian mở đơn: 19/09/2024 - 27/09/2024\n----------------------------------… Xem thêm', 'Đông Kha ly bia']"
help mee @,18 Tháng 9,7,0,0,0,0,0,0,0,['help mee @']
Có ai pass những cuốn này kh ạ,16 Tháng 9,21,0,0,0,0,0,0,0,"['Có ai pass những cuốn này kh ạ', 'mình có nhé', 'C có vi mô mankiw vs lêtg nha']"
ai có pass không ạ,17 Tháng 9,5,0,0,0,0,0,0,0,"['ai có pass không ạ', 'Phạm Lê Thanh Hiền Tui có nltt']"
"Em cần tìm mấy môn bên dưới ạ, anh chị nào còn tài liệu pass cho em nha",16 Tháng 9,14,0,0,0,0,0,0,0,"['Em cần tìm mấy môn bên dưới ạ, anh chị nào còn tài liệu pass cho em nha', 'Mình có sách t.anh đã cào mã', 'C có vi mô mankiw vs lêtg nha']"
"[ TUYỂN THÀNH VIÊN FALL MELODY ]
-----------------------
 Form đăng ký: https://bit.ly/Formdangkytuyenthanhvien
 Booklet: https://bit.ly/SoTayThongTinTTV
  Đố… Xem thêm",18 Tháng 9,13,0,0,0,0,0,0,0,"['[ TUYỂN THÀNH VIÊN FALL MELODY ]\n-----------------------\n Form đăng ký: https://bit.ly/Formdangkytuyenthanhvien\n Booklet: https://bit.ly/SoTayThongTinTTV\n  Đố… Xem thêm', 'Lê Thùy Trang zô để đi cụng ly', 'Điền đơn ngay thui']"
Anh chị nào pass các môn này hong ạ ,17 Tháng 9,8,0,0,0,0,0,0,0,"['Anh chị nào pass các môn này hong ạ ', 'Mình có pldc vs marketing', 'còn cần thì ib mình nhé']"
Tìm mua những môn này ạ,17 Tháng 9,5,0,0,0,0,0,0,0,"['Tìm mua những môn này ạ', 'C có sách TA EE1 đã cào mã', 'Chị cs nè e']"
Em cần sách mấy môn này ạ,17 Tháng 9,3,0,0,0,0,0,0,0,"['Em cần sách mấy môn này ạ', 'C có vi mô nha', 'Còn toán nghe']"
Dạ em cần mua giáo trình và slide của các môn này ạ.Em cảm ơn,16 Tháng 9,12,0,0,0,0,0,0,0,"['Dạ em cần mua giáo trình và slide của các môn này ạ.Em cảm ơn', 'Ib chị nha', 'Mk có mar, pldc, vi mô']"
Em cần mua những giáo trình này ạ,16 Tháng 9,4,0,0,0,0,0,0,0,"['Em cần mua những giáo trình này ạ', 'Còn vi mô vs qtr', 'Mk có vi mô vs E1 đã cào mã']"
Cho em hỏi có anh/chị nào pass tài liệu những môn này ko ạ?,8 Tháng 9,23,0,0,0,0,0,0,0,"['Cho em hỏi có anh/chị nào pass tài liệu những môn này ko ạ?', 'Mình có plđc, toán vs tin nhe']"
"Em chào mn ạ. Các anh chị trong BCH Đoàn Trường cho em hỏi một vài câu được kh ạ
(Ảnh 1): Anh chị cho em hỏi là điểm thi THPTQG 2024 là điểm tổng của 6 môn thi hay là điểm tổ hợp 3 môn dùng để xét tuyển thôi ạ?
(Ảnh 2): Anh chị cho em hỏi các hoạt động trong và ngoài trường đã tham gia là trường THPT hay là trường đại học ạ? 
Mong nhận được phản hồi, em cảm ơn",17 Tháng 9,2,0,0,0,0,0,0,0,"['Em chào mn ạ. Các anh chị trong BCH Đoàn Trường cho em hỏi một vài câu được kh ạ\n(Ảnh 1): Anh chị cho em hỏi là điểm thi THPTQG 2024 là điểm tổng của 6 môn thi hay là điểm tổ hợp 3 môn dùng để xét tuyển thôi ạ?\n(Ảnh 2): Anh chị cho em hỏi các hoạt động trong và ngoài trường đã tham gia là trường THPT hay là trường đại học ạ? \nMong nhận được phản hồi, em cảm ơn', 'Chào em, chị xin phép trả lời câu hỏi của em nha:\nCâu 1: Mình sẽ điền điểm thi tổ hợp 3 môn mà em dùng để xét tuyển\nCâu 2: Các hoạt động trong và ngoài trường THPT hoặc Đại học đều được nè… Xem thêm']"
Em cần tìm người pass giáo trình các môn dưới đây ạ,11 Tháng 9,29,0,0,0,0,0,0,0,"['Em cần tìm người pass giáo trình các môn dưới đây ạ', 'chị có trừ marketing', 'Có mkt nè']"
Em cần tìm mua ạ,12 Tháng 9,11,0,0,0,0,0,0,0,"['Em cần tìm mua ạ', 'mình có giáo trình vi mô nha bạn', 'QTH th Phương ib nha']"
Có anh chị nào còn pass những sách này ko ạ,14 Tháng 9,14,0,0,0,0,0,0,0,"['Có anh chị nào còn pass những sách này ko ạ', 'C có gtrinh vĩ mô', 'slide vi mô, gt mar+slide']"
e cần những giáo trình này ạ. ac có pass lại giúp e với.,10 Tháng 9,34,0,0,0,0,0,0,0,"['e cần những giáo trình này ạ. ac có pass lại giúp e với.', 'Mình có qth thầy phương nha', 'Chị gửi nha']"
Cs ai pass cuốn này k ạ,16 Tháng 9,4,0,0,0,0,0,0,0,"['Cs ai pass cuốn này k ạ', 'Có nha', 'Up']"
em cần tìm những tài liệu môn này ạ.,15 Tháng 9,11,0,0,0,0,0,0,0,"['em cần tìm những tài liệu môn này ạ.', 'Chị có t.anh chưa cào mã', 'C có vĩ mô và triết nha']"
"e cần pass sách các môn như hình với ạ, trừ PLDC",13 Tháng 9,18,0,0,0,0,0,0,0,"['e cần pass sách các môn như hình với ạ, trừ PLDC', 'c có marketing giáo trình slide + file ôn tập nhé', 'C có giáo trình marketing và sách life A1-A2 em nhé']"
Em cần mua giáo trình tài liệu các môn này ạ,12 Tháng 9,23,0,0,0,0,0,0,0,"['Em cần mua giáo trình tài liệu các môn này ạ', 'mình có qth nha', 'Còn plđc với toán nha']"
"Anh chị ơi còn các sách này không ạ, pass lại em với ạ",13 Tháng 9,11,0,0,0,0,0,0,0,"['Anh chị ơi còn các sách này không ạ, pass lại em với ạ', 'mình có full nhé', 'Mình có vi mô và qthoc']"
"em tìm tài liệu các môn này ạ, ai có pass em với ạ",13 Tháng 9,14,0,0,0,0,0,0,0,"['em tìm tài liệu các môn này ạ, ai có pass em với ạ', 'Mình có tin nha', 'Mk có A1-A2 đã cào mã']"
Em cần giáo trình có bài tập càng tốt ạ ,14 Tháng 9,3,0,0,0,0,0,0,0,"['Em cần giáo trình có bài tập càng tốt ạ ', 'Mình có slide CSLT, sách life A1-A2 đã cào mã (tặng file đáp án và đề ôn)']"
"Cần tìm mua những giáo trình này ạ, anh chị nào có pass lại cho em với",13 Tháng 9,16,0,0,0,0,0,0,0,"['Cần tìm mua những giáo trình này ạ, anh chị nào có pass lại cho em với', 'không em nhé', 'Mình có PL ĐC']"
Có anh chị nào pass lại slide kinh tế vĩ mô của cô Đặng Thị Hồng Dân và slide tin học ứng dụng của cô Hoàng Thị Thanh Hà kh ạ?,14 Tháng 9,2,0,0,0,0,0,0,0,"['Có anh chị nào pass lại slide kinh tế vĩ mô của cô Đặng Thị Hồng Dân và slide tin học ứng dụng của cô Hoàng Thị Thanh Hà kh ạ?', 'anh có nè em']"
"Anh chị ơi, cho em hỏi là mình có cần mua sách các môn trước khi đến lớp (vào tuần sau) không ạ? Em là svien khoá 50K ạ",7 Tháng 9,6,0,0,0,0,0,0,0,"['Anh chị ơi, cho em hỏi là mình có cần mua sách các môn trước khi đến lớp (vào tuần sau) không ạ? Em là svien khoá 50K ạ', 'Mình cần pass 1 số tlieu này nha']"
"em cần tìm gtrinh và slide 
@kinh tế vi mô thầy Nguyễn Thành Long
Pháp luật đaị cương cô Nguyễn Phương Trang
kinh tế vĩ mô thầy Nguyễn Danh Khôi",14 Tháng 9,1,0,0,0,0,0,0,0,"['em cần tìm gtrinh và slide \n@kinh tế vi mô thầy Nguyễn Thành Long\nPháp luật đaị cương cô Nguyễn Phương Trang\nkinh tế vĩ mô thầy Nguyễn Danh Khôi', 'mình có kt vi mô, vĩ mô nhé']"
Em cần sách của những môn này ạ,12 Tháng 9,29,0,0,0,0,0,0,0,"['Em cần sách của những môn này ạ', 'Chị có mar căn bản, toán và plđc nah', 'C có vi mô nha']"
em cần tìm giáo trình và tài liệu các môn này ạ ,12 Tháng 9,16,0,0,0,0,0,0,0,"['em cần tìm giáo trình và tài liệu các môn này ạ ', 'Chị còn', 'Mình còn vi mô nha']"
"Dạ em muốn tìm những tài liệu dưới đây ạa, anh chị nào có cho em xin/pass lại cho em với nhaa",14 Tháng 9,7,0,0,0,0,0,0,0,"['Dạ em muốn tìm những tài liệu dưới đây ạa, anh chị nào có cho em xin/pass lại cho em với nhaa', 'C có vi mô LTG nha', 'Mình có toán cao cấp']"
"Anh chị nào có pass cho e vs ạ
Giáo trình, slide 
Kinh tế vi mô
Kinh tế vĩ mô
Marketing căn bản
Q… Xem thêm",10 Tháng 9,30,0,0,0,0,0,0,0,"['Anh chị nào có pass cho e vs ạ\nGiáo trình, slide \nKinh tế vi mô\nKinh tế vĩ mô\nMarketing căn bản\nQ… Xem thêm', 'Mình có giáo trình vi mô + file ôn tập nha', 'Mik có gtr qth vs plđc']"
Có ac nào pass tài liệu những môn này ko ạ?,10 Tháng 9,24,0,0,0,0,0,0,0,"['Có ac nào pass tài liệu những môn này ko ạ?', 'Mình có full nha', 'Mình có vi mô ạ']"
